lane_barcode	hgsc_xfer_subdir	batch	sample_id_nwd_id	run_name	current_cram_name	new_cram_name	result_path	cram_path
HGHTFCCXY-6	TMSOL	TMSOL_batch24a	NWD611953	171215_E00380_0518_BHGHTFCCXY_6	HGHTFCCXY-6.hgv.cram	NWD611953-HGHTFCCXY-6.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-6	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-6/HGHTFCCXY-6.hgv.cram
HGHTFCCXY-8	TMSOL	TMSOL_batch24a	NWD718902	171215_E00380_0518_BHGHTFCCXY_8	HGHTFCCXY-8.hgv.cram	NWD718902-HGHTFCCXY-8.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-8	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-8/HGHTFCCXY-8.hgv.cram
HGHJLCCXY-3	TMSOL	TMSOL_batch24a	NWD517864	171216_ST-E00212_0656_AHGHJLCCXY_3	HGHJLCCXY-3.hgv.cram	NWD517864-HGHJLCCXY-3.hgv.cram	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171216_ST-E00212_0656_AHGHJLCCXY/Results/Project_HGHJLCCXY/Sample_HGHJLCCXY-3	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171216_ST-E00212_0656_AHGHJLCCXY/Results/Project_HGHJLCCXY/Sample_HGHJLCCXY-3/HGHJLCCXY-3.hgv.cram
HGHTFCCXY-4	TMSOL	TMSOL_batch24a	NWD551115	171215_E00380_0518_BHGHTFCCXY_4	HGHTFCCXY-4.hgv.cram	NWD551115-HGHTFCCXY-4.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-4	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-4/HGHTFCCXY-4.hgv.cram
HGHTFCCXY-2	TMSOL	TMSOL_batch24a	NWD723738	171215_E00380_0518_BHGHTFCCXY_2	HGHTFCCXY-2.hgv.cram	NWD723738-HGHTFCCXY-2.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-2	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-2/HGHTFCCXY-2.hgv.cram
HGHTFCCXY-1	TMSOL	TMSOL_batch24a	NWD257871	171215_E00380_0518_BHGHTFCCXY_1	HGHTFCCXY-1.hgv.cram	NWD257871-HGHTFCCXY-1.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-1	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-1/HGHTFCCXY-1.hgv.cram
HGHTFCCXY-3	TMSOL	TMSOL_batch24a	NWD938514	171215_E00380_0518_BHGHTFCCXY_3	HGHTFCCXY-3.hgv.cram	NWD938514-HGHTFCCXY-3.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-3	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-3/HGHTFCCXY-3.hgv.cram
HH3JCCCXY-5	TMSOL	TMSOL_batch24a	NWD995201	171215_E00385_0556_AHH3JCCCXY_5	HH3JCCCXY-5.hgv.cram	NWD995201-HH3JCCCXY-5.hgv.cram	/stornext/snfs110/next-gen/Illumina/Instruments/E00385/171215_E00385_0556_AHH3JCCCXY/Results/Project_HH3JCCCXY/Sample_HH3JCCCXY-5	/stornext/snfs110/next-gen/Illumina/Instruments/E00385/171215_E00385_0556_AHH3JCCCXY/Results/Project_HH3JCCCXY/Sample_HH3JCCCXY-5/HH3JCCCXY-5.hgv.cram
HH3JCCCXY-2	TMSOL	TMSOL_batch24a	NWD829516	171215_E00385_0556_AHH3JCCCXY_2	HH3JCCCXY-2.hgv.cram	NWD829516-HH3JCCCXY-2.hgv.cram	/stornext/snfs110/next-gen/Illumina/Instruments/E00385/171215_E00385_0556_AHH3JCCCXY/Results/Project_HH3JCCCXY/Sample_HH3JCCCXY-2	/stornext/snfs110/next-gen/Illumina/Instruments/E00385/171215_E00385_0556_AHH3JCCCXY/Results/Project_HH3JCCCXY/Sample_HH3JCCCXY-2/HH3JCCCXY-2.hgv.cram
HH3JCCCXY-4	TMSOL	TMSOL_batch24a	NWD905646	171215_E00385_0556_AHH3JCCCXY_4	HH3JCCCXY-4.hgv.cram	NWD905646-HH3JCCCXY-4.hgv.cram	/stornext/snfs110/next-gen/Illumina/Instruments/E00385/171215_E00385_0556_AHH3JCCCXY/Results/Project_HH3JCCCXY/Sample_HH3JCCCXY-4	/stornext/snfs110/next-gen/Illumina/Instruments/E00385/171215_E00385_0556_AHH3JCCCXY/Results/Project_HH3JCCCXY/Sample_HH3JCCCXY-4/HH3JCCCXY-4.hgv.cram
