sample_id/nwd_id	lane_barcode	hgsc_xfer_subdir	batch	run_name	current_cram_name	new_cram_name	result_path	cram_path
NWD775060	HH3JCCCXY-1	TMSOL	TMSOL_batch24a	171215_E00385_0556_AHH3JCCCXY_1	#N/A	#N/A	/stornext/snfs110/next-gen/Illumina/Instruments/E00385/171215_E00385_0556_AHH3JCCCXY/Results/Project_HH3JCCCXY/Sample_HH3JCCCXY-1	#N/A
NWD863303	HH3JCCCXY-3	TMSOL	TMSOL_batch24a	171215_E00385_0556_AHH3JCCCXY_3	#N/A	#N/A	/stornext/snfs110/next-gen/Illumina/Instruments/E00385/171215_E00385_0556_AHH3JCCCXY/Results/Project_HH3JCCCXY/Sample_HH3JCCCXY-3	#N/A
NWD889319	HGHJCCCXY-1	TMSOL	TMSOL_batch24a	171216_ST-E00238_0624_AHGHJCCCXY_1	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-1	#N/A
NWD598937	HGHJCCCXY-2	TMSOL	TMSOL_batch24a	171216_ST-E00238_0624_AHGHJCCCXY_2	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-2	#N/A
NWD742238	HGHJCCCXY-6	TMSOL	TMSOL_batch24a	171216_ST-E00238_0624_AHGHJCCCXY_6	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-6	#N/A
NWD579567	HGHJCCCXY-7	TMSOL	TMSOL_batch24a	171216_ST-E00238_0624_AHGHJCCCXY_7	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-7	#N/A
NWD686568	HGHJCCCXY-4	TMSOL	TMSOL_batch24a	171216_ST-E00238_0624_AHGHJCCCXY_4	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-4	#N/A
NWD178931	HGHJCCCXY-8	TMSOL	TMSOL_batch24a	171216_ST-E00238_0624_AHGHJCCCXY_8	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-8	#N/A
NWD257011	HGHJCCCXY-3	TMSOL	TMSOL_batch24a	171216_ST-E00238_0624_AHGHJCCCXY_3	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-3	#N/A
NWD831773	HGHJCCCXY-5	TMSOL	TMSOL_batch24a	171216_ST-E00238_0624_AHGHJCCCXY_5	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-5	#N/A
NWD432657	HGHF3CCXY-2	TMSOL	TMSOL_batch24a	171216_ST-E00238_0623_BHGHF3CCXY_2	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0623_BHGHF3CCXY/Results/Project_HGHF3CCXY/Sample_HGHF3CCXY-2	#N/A
NWD759973	HGHF3CCXY-4	TMSOL	TMSOL_batch24a	171216_ST-E00238_0623_BHGHF3CCXY_4	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0623_BHGHF3CCXY/Results/Project_HGHF3CCXY/Sample_HGHF3CCXY-4	#N/A
NWD156087	HGHWYCCXY-2	TMSOL	TMSOL_batch24a	171217_ST-E00186_0659_BHGHWYCCXY_2	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-2	#N/A
NWD968209	HGHWYCCXY-3	TMSOL	TMSOL_batch24a	171217_ST-E00186_0659_BHGHWYCCXY_3	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-3	#N/A
NWD606847	HGHWYCCXY-8	TMSOL	TMSOL_batch24a	171217_ST-E00186_0659_BHGHWYCCXY_8	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-8	#N/A
NWD113979	HGHWYCCXY-5	TMSOL	TMSOL_batch24a	171217_ST-E00186_0659_BHGHWYCCXY_5	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-5	#N/A
NWD225215	HGHWYCCXY-6	TMSOL	TMSOL_batch24a	171217_ST-E00186_0659_BHGHWYCCXY_6	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-6	#N/A
NWD832438	HGHWYCCXY-7	TMSOL	TMSOL_batch24a	171217_ST-E00186_0659_BHGHWYCCXY_7	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-7	#N/A
NWD818352	HGHWYCCXY-1	TMSOL	TMSOL_batch24a	171217_ST-E00186_0659_BHGHWYCCXY_1	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-1	#N/A
NWD391382	HGHWYCCXY-4	TMSOL	TMSOL_batch24a	171217_ST-E00186_0659_BHGHWYCCXY_4	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-4	#N/A
NWD112619	HGHF3CCXY-6	TMSOL	TMSOL_batch24a	171216_ST-E00238_0623_BHGHF3CCXY_6	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0623_BHGHF3CCXY/Results/Project_HGHF3CCXY/Sample_HGHF3CCXY-6	#N/A
NWD411444	HGHF3CCXY-5	TMSOL	TMSOL_batch24a	171216_ST-E00238_0623_BHGHF3CCXY_5	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0623_BHGHF3CCXY/Results/Project_HGHF3CCXY/Sample_HGHF3CCXY-5	#N/A
NWD560300	HGHF3CCXY-7	TMSOL	TMSOL_batch24a	171216_ST-E00238_0623_BHGHF3CCXY_7	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0623_BHGHF3CCXY/Results/Project_HGHF3CCXY/Sample_HGHF3CCXY-7	#N/A
NWD509219	HGHF3CCXY-1	TMSOL	TMSOL_batch24a	171216_ST-E00238_0623_BHGHF3CCXY_1	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0623_BHGHF3CCXY/Results/Project_HGHF3CCXY/Sample_HGHF3CCXY-1	#N/A
NWD916300	HGHF3CCXY-3	TMSOL	TMSOL_batch24a	171216_ST-E00238_0623_BHGHF3CCXY_3	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0623_BHGHF3CCXY/Results/Project_HGHF3CCXY/Sample_HGHF3CCXY-3	#N/A
NWD315281	HGHF3CCXY-8	TMSOL	TMSOL_batch24a	171216_ST-E00238_0623_BHGHF3CCXY_8	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0623_BHGHF3CCXY/Results/Project_HGHF3CCXY/Sample_HGHF3CCXY-8	#N/A
NWD456237	HGHMMCCXY-3	TMSOL	TMSOL_batch24a	171219_ST-E00212_0659_BHGHMMCCXY_3	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0659_BHGHMMCCXY/Results/Project_HGHMMCCXY/Sample_HGHMMCCXY-3	#N/A
NWD701367	HGHMMCCXY-6	TMSOL	TMSOL_batch24a	171219_ST-E00212_0659_BHGHMMCCXY_6	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0659_BHGHMMCCXY/Results/Project_HGHMMCCXY/Sample_HGHMMCCXY-6	#N/A
NWD421417	HGHMMCCXY-5	TMSOL	TMSOL_batch24a	171219_ST-E00212_0659_BHGHMMCCXY_5	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0659_BHGHMMCCXY/Results/Project_HGHMMCCXY/Sample_HGHMMCCXY-5	#N/A
NWD744256	HGGWMCCXY-5	TMSOL	TMSOL_batch24a	171219_ST-E00212_0658_AHGGWMCCXY_5	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0658_AHGGWMCCXY/Results/Project_HGGWMCCXY/Sample_HGGWMCCXY-5	#N/A
NWD606135	HGHMMCCXY-4	TMSOL	TMSOL_batch24a	171219_ST-E00212_0659_BHGHMMCCXY_4	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0659_BHGHMMCCXY/Results/Project_HGHMMCCXY/Sample_HGHMMCCXY-4	#N/A
NWD726516	HGHMMCCXY-2	TMSOL	TMSOL_batch24a	171219_ST-E00212_0659_BHGHMMCCXY_2	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0659_BHGHMMCCXY/Results/Project_HGHMMCCXY/Sample_HGHMMCCXY-2	#N/A
NWD271363	HGHMMCCXY-7	TMSOL	TMSOL_batch24a	171219_ST-E00212_0659_BHGHMMCCXY_7	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0659_BHGHMMCCXY/Results/Project_HGHMMCCXY/Sample_HGHMMCCXY-7	#N/A
NWD648123	HGGWMCCXY-8	TMSOL	TMSOL_batch24a	171219_ST-E00212_0658_AHGGWMCCXY_8	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0658_AHGGWMCCXY/Results/Project_HGGWMCCXY/Sample_HGGWMCCXY-8	#N/A
NWD836209	HGGWMCCXY-7	TMSOL	TMSOL_batch24a	171219_ST-E00212_0658_AHGGWMCCXY_7	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0658_AHGGWMCCXY/Results/Project_HGGWMCCXY/Sample_HGGWMCCXY-7	#N/A
NWD928141	HGGWMCCXY-2	TMSOL	TMSOL_batch24a	171219_ST-E00212_0658_AHGGWMCCXY_2	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0658_AHGGWMCCXY/Results/Project_HGGWMCCXY/Sample_HGGWMCCXY-2	#N/A
NWD678324	HGGWMCCXY-1	TMSOL	TMSOL_batch24a	171219_ST-E00212_0658_AHGGWMCCXY_1	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0658_AHGGWMCCXY/Results/Project_HGGWMCCXY/Sample_HGGWMCCXY-1	#N/A
NWD322997	HGGWMCCXY-4	TMSOL	TMSOL_batch24a	171219_ST-E00212_0658_AHGGWMCCXY_4	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0658_AHGGWMCCXY/Results/Project_HGGWMCCXY/Sample_HGGWMCCXY-4	#N/A
NWD179139	HGGWMCCXY-6	TMSOL	TMSOL_batch24a	171219_ST-E00212_0658_AHGGWMCCXY_6	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0658_AHGGWMCCXY/Results/Project_HGGWMCCXY/Sample_HGGWMCCXY-6	#N/A
NWD714363	HGHMMCCXY-8	TMSOL	TMSOL_batch24a	171219_ST-E00212_0659_BHGHMMCCXY_8	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0659_BHGHMMCCXY/Results/Project_HGHMMCCXY/Sample_HGHMMCCXY-8	#N/A
NWD854023	HGGWMCCXY-3	TMSOL	TMSOL_batch24a	171219_ST-E00212_0658_AHGGWMCCXY_3	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0658_AHGGWMCCXY/Results/Project_HGGWMCCXY/Sample_HGGWMCCXY-3	#N/A
NWD772557	HGHMMCCXY-1	TMSOL	TMSOL_batch24a	171219_ST-E00212_0659_BHGHMMCCXY_1	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171219_ST-E00212_0659_BHGHMMCCXY/Results/Project_HGHMMCCXY/Sample_HGHMMCCXY-1	#N/A
