sample_id/nwd_id	lane_barcode	hgsc_xfer_subdir	batch	run_name	current_cram_name	new_cram_name	result_path	cram_path
NWD418210	HGHJJCCXY-4	TMSOL	TMSOL_batch24a	171220_E00538_0173_BHGHJJCCXY_4	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0173_BHGHJJCCXY/Results/Project_HGHJJCCXY/Sample_HGHJJCCXY-4	#N/A
NWD220365	HGHJJCCXY-1	TMSOL	TMSOL_batch24a	171220_E00538_0173_BHGHJJCCXY_1	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0173_BHGHJJCCXY/Results/Project_HGHJJCCXY/Sample_HGHJJCCXY-1	#N/A
NWD954783	HGHJJCCXY-5	TMSOL	TMSOL_batch24a	171220_E00538_0173_BHGHJJCCXY_5	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0173_BHGHJJCCXY/Results/Project_HGHJJCCXY/Sample_HGHJJCCXY-5	#N/A
NWD311770	HGHJJCCXY-3	TMSOL	TMSOL_batch24a	171220_E00538_0173_BHGHJJCCXY_3	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0173_BHGHJJCCXY/Results/Project_HGHJJCCXY/Sample_HGHJJCCXY-3	#N/A
NWD523493	HGTJMCCXY-5	TMSOL	TMSOL_batch24a	171225_ST-E00238_0629_AHGTJMCCXY_5	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171225_ST-E00238_0629_AHGTJMCCXY/Results/Project_HGTJMCCXY/Sample_HGTJMCCXY-5	#N/A
NWD359724	HGTJMCCXY-4	TMSOL	TMSOL_batch24a	171225_ST-E00238_0629_AHGTJMCCXY_4	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171225_ST-E00238_0629_AHGTJMCCXY/Results/Project_HGTJMCCXY/Sample_HGTJMCCXY-4	#N/A
NWD589083	HGTJMCCXY-7	TMSOL	TMSOL_batch24a	171225_ST-E00238_0629_AHGTJMCCXY_7	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171225_ST-E00238_0629_AHGTJMCCXY/Results/Project_HGTJMCCXY/Sample_HGTJMCCXY-7	#N/A
NWD272971	HGTJMCCXY-3	TMSOL	TMSOL_batch24a	171225_ST-E00238_0629_AHGTJMCCXY_3	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171225_ST-E00238_0629_AHGTJMCCXY/Results/Project_HGTJMCCXY/Sample_HGTJMCCXY-3	#N/A
NWD534767	HGTJMCCXY-6	TMSOL	TMSOL_batch24a	171225_ST-E00238_0629_AHGTJMCCXY_6	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171225_ST-E00238_0629_AHGTJMCCXY/Results/Project_HGTJMCCXY/Sample_HGTJMCCXY-6	#N/A
NWD650191	HGTJMCCXY-8	TMSOL	TMSOL_batch24a	171225_ST-E00238_0629_AHGTJMCCXY_8	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171225_ST-E00238_0629_AHGTJMCCXY/Results/Project_HGTJMCCXY/Sample_HGTJMCCXY-8	#N/A
