lane_barcode	hgsc_xfer_subdir	batch	sample_id/nwd_id	run_name	current_cram_name	new_cram_name	cram_path
HFCNMCCXY-7	CHS	CHS_batch29_2017-12-06	NWD536911	171125_E00326_0561_AHFCNMCCXY_7	HFCNMCCXY-7.hgv.cram	NWD536911-HFCNMCCXY-7.hgv.cram	/stornext/snfs120/next-gen/Illumina/Instruments/E00326/171125_E00326_0561_AHFCNMCCXY/Results/Project_HFCNMCCXY/Sample_HFCNMCCXY-7/HFCNMCCXY-7.hgv.cram
HFCNMCCXY-5	CHS	CHS_batch29_2017-12-06	NWD687456	171125_E00326_0561_AHFCNMCCXY_5	HFCNMCCXY-5.hgv.cram	NWD687456-HFCNMCCXY-5.hgv.cram	/stornext/snfs120/next-gen/Illumina/Instruments/E00326/171125_E00326_0561_AHFCNMCCXY/Results/Project_HFCNMCCXY/Sample_HFCNMCCXY-5/HFCNMCCXY-5.hgv.cram
HFCNMCCXY-8	CHS	CHS_batch29_2017-12-06	NWD775430	171125_E00326_0561_AHFCNMCCXY_8	HFCNMCCXY-8.hgv.cram	NWD775430-HFCNMCCXY-8.hgv.cram	/stornext/snfs120/next-gen/Illumina/Instruments/E00326/171125_E00326_0561_AHFCNMCCXY/Results/Project_HFCNMCCXY/Sample_HFCNMCCXY-8/HFCNMCCXY-8.hgv.cram
HFFG7CCXY-4	CHS	CHS_batch29_2017-12-06	NWD844924	171125_ST-E00270_0574_AHFFG7CCXY_4	HFFG7CCXY-4.hgv.cram	NWD844924-HFFG7CCXY-4.hgv.cram	/stornext/snfs140/next-gen/Illumina/Instruments/E00270/171125_ST-E00270_0574_AHFFG7CCXY/Results/Project_HFFG7CCXY/Sample_HFFG7CCXY-4/HFFG7CCXY-4.hgv.cram
HFFG7CCXY-3	CHS	CHS_batch29_2017-12-06	NWD622988	171125_ST-E00270_0574_AHFFG7CCXY_3	HFFG7CCXY-3.hgv.cram	NWD622988-HFFG7CCXY-3.hgv.cram	/stornext/snfs140/next-gen/Illumina/Instruments/E00270/171125_ST-E00270_0574_AHFFG7CCXY/Results/Project_HFFG7CCXY/Sample_HFFG7CCXY-3/HFFG7CCXY-3.hgv.cram
HFFG7CCXY-6	CHS	CHS_batch29_2017-12-06	NWD249481	171125_ST-E00270_0574_AHFFG7CCXY_6	HFFG7CCXY-6.hgv.cram	NWD249481-HFFG7CCXY-6.hgv.cram	/stornext/snfs140/next-gen/Illumina/Instruments/E00270/171125_ST-E00270_0574_AHFFG7CCXY/Results/Project_HFFG7CCXY/Sample_HFFG7CCXY-6/HFFG7CCXY-6.hgv.cram
HFFG7CCXY-7	CHS	CHS_batch29_2017-12-06	NWD959741	171125_ST-E00270_0574_AHFFG7CCXY_7	HFFG7CCXY-7.hgv.cram	NWD959741-HFFG7CCXY-7.hgv.cram	/stornext/snfs140/next-gen/Illumina/Instruments/E00270/171125_ST-E00270_0574_AHFFG7CCXY/Results/Project_HFFG7CCXY/Sample_HFFG7CCXY-7/HFFG7CCXY-7.hgv.cram
HFFG7CCXY-5	CHS	CHS_batch29_2017-12-06	NWD804519	171125_ST-E00270_0574_AHFFG7CCXY_5	HFFG7CCXY-5.hgv.cram	NWD804519-HFFG7CCXY-5.hgv.cram	/stornext/snfs140/next-gen/Illumina/Instruments/E00270/171125_ST-E00270_0574_AHFFG7CCXY/Results/Project_HFFG7CCXY/Sample_HFFG7CCXY-5/HFFG7CCXY-5.hgv.cram
HFFG7CCXY-8	CHS	CHS_batch29_2017-12-06	NWD877879	171125_ST-E00270_0574_AHFFG7CCXY_8	HFFG7CCXY-8.hgv.cram	NWD877879-HFFG7CCXY-8.hgv.cram	/stornext/snfs140/next-gen/Illumina/Instruments/E00270/171125_ST-E00270_0574_AHFFG7CCXY/Results/Project_HFFG7CCXY/Sample_HFFG7CCXY-8/HFFG7CCXY-8.hgv.cram
HFFG7CCXY-2	CHS	CHS_batch29_2017-12-06	NWD202932	171125_ST-E00270_0574_AHFFG7CCXY_2	HFFG7CCXY-2.hgv.cram	NWD202932-HFFG7CCXY-2.hgv.cram	/stornext/snfs140/next-gen/Illumina/Instruments/E00270/171125_ST-E00270_0574_AHFFG7CCXY/Results/Project_HFFG7CCXY/Sample_HFFG7CCXY-2/HFFG7CCXY-2.hgv.cram
HFFJ5CCXY-7	CHS	CHS_batch29_2017-12-06	NWD143960	171125_ST-E00270_0575_BHFFJ5CCXY_7	HFFJ5CCXY-7.hgv.cram	NWD143960-HFFJ5CCXY-7.hgv.cram	/stornext/snfs140/next-gen/Illumina/Instruments/E00270/171125_ST-E00270_0575_BHFFJ5CCXY/Results/Project_HFFJ5CCXY/Sample_HFFJ5CCXY-7/HFFJ5CCXY-7.hgv.cram
HFFJ5CCXY-8	CHS	CHS_batch29_2017-12-06	NWD553604	171125_ST-E00270_0575_BHFFJ5CCXY_8	HFFJ5CCXY-8.hgv.cram	NWD553604-HFFJ5CCXY-8.hgv.cram	/stornext/snfs140/next-gen/Illumina/Instruments/E00270/171125_ST-E00270_0575_BHFFJ5CCXY/Results/Project_HFFJ5CCXY/Sample_HFFJ5CCXY-8/HFFJ5CCXY-8.hgv.cram
